Code,Lat,Lon,Name,Zone
LUX,49.61,6.1296,Luxembourg,Europe & Central Asia
LVA,56.9465,24.1048,Latvia,Europe & Central Asia
MAC,22.1667,113.55,"Macao SAR, China",East Asia & Pacific
MAF,,,St. Martin (French part),Latin America & Caribbean 
MAR,33.9905,-6.8704,Morocco,Middle East & North Africa
MCO,43.7325,7.41891,Monaco,Europe & Central Asia
MDA,47.0167,28.8497,Moldova,Europe & Central Asia
MDG,-20.4667,45.7167,Madagascar,Sub-Saharan Africa 
MDV,4.1742,73.5109,Maldives,South Asia
MEX,19.427,-99.1276,Mexico,Latin America & Caribbean 
MHL,7.11046,171.135,Marshall Islands,East Asia & Pacific
MKD,42.0024,21.4361,"Macedonia, FYR",Europe & Central Asia
MLI,13.5667,-7.50034,Mali,Sub-Saharan Africa 
MLT,35.9042,14.5189,Malta,Middle East & North Africa
MMR,21.914,95.9562,Myanmar,East Asia & Pacific
MNE,42.4602,19.2595,Montenegro,Europe & Central Asia
MNG,47.9129,106.937,Mongolia,East Asia & Pacific
MNP,15.1935,145.765,Northern Mariana Islands,East Asia & Pacific
MOZ,-25.9664,32.5713,Mozambique,Sub-Saharan Africa 
MRT,18.2367,-15.9824,Mauritania,Sub-Saharan Africa 
MUS,-20.1605,57.4977,Mauritius,Sub-Saharan Africa 
MWI,-13.9899,33.7703,Malawi,Sub-Saharan Africa 
MYS,3.12433,101.684,Malaysia,East Asia & Pacific
NAM,-22.5648,17.0931,Namibia,Sub-Saharan Africa 
NCL,-22.2677,166.464,New Caledonia,East Asia & Pacific
NER,13.514,2.1073,Niger,Sub-Saharan Africa 
NGA,9.05804,7.48906,Nigeria,Sub-Saharan Africa 
NIC,12.1475,-86.2734,Nicaragua,Latin America & Caribbean 
NLD,52.3738,4.89095,Netherlands,Europe & Central Asia
NOR,59.9138,10.7387,Norway,Europe & Central Asia
NPL,27.6939,85.3157,Nepal,South Asia
NRU,-0.5477,166.920867,Nauru,East Asia & Pacific
NZL,-41.2865,174.776,New Zealand,East Asia & Pacific
OMN,23.6105,58.5874,Oman,Middle East & North Africa
PAK,30.5167,72.8,Pakistan,South Asia
PAN,8.99427,-79.5188,Panama,Latin America & Caribbean 
PER,-12.0931,-77.0465,Peru,Latin America & Caribbean 
PHL,14.5515,121.035,Philippines,East Asia & Pacific
PLW,7.34194,134.479,Palau,East Asia & Pacific
PNG,-9.47357,147.194,Papua New Guinea,East Asia & Pacific
POL,52.26,21.02,Poland,Europe & Central Asia
PRI,18.23,-66,Puerto Rico,Latin America & Caribbean 
PRK,39.0319,125.754,"Korea, Dem. People’s Rep.",East Asia & Pacific
PRT,38.7072,-9.13552,Portugal,Europe & Central Asia
PRY,-25.3005,-57.6362,Paraguay,Latin America & Caribbean 
PSE,,,West Bank and Gaza,Middle East & North Africa
PYF,-17.535,-149.57,French Polynesia,East Asia & Pacific
QAT,25.2948,51.5082,Qatar,Middle East & North Africa
ROU,44.4479,26.0979,Romania,Europe & Central Asia
RUS,55.7558,37.6176,Russian Federation,Europe & Central Asia
RWA,-1.95325,30.0587,Rwanda,Sub-Saharan Africa 
SAU,24.6748,46.6977,Saudi Arabia,Middle East & North Africa
SDN,15.5932,32.5363,Sudan,Sub-Saharan Africa 
SEN,14.7247,-17.4734,Senegal,Sub-Saharan Africa 
SGP,1.28941,103.85,Singapore,East Asia & Pacific
SLB,-9.42676,159.949,Solomon Islands,East Asia & Pacific
SLE,8.4821,-13.2134,Sierra Leone,Sub-Saharan Africa 
SLV,13.7034,-89.2073,El Salvador,Latin America & Caribbean 
SMR,43.9322,12.4486,San Marino,Europe & Central Asia
SOM,2.07515,45.3254,Somalia,Sub-Saharan Africa 
SRB,44.8024,20.4656,Serbia,Europe & Central Asia
SSD,4.85,31.6,South Sudan,Sub-Saharan Africa 
STP,0.20618,6.6071,Sao Tome and Principe,Sub-Saharan Africa 
SUR,5.8232,-55.1679,Suriname,Latin America & Caribbean 
SVK,48.1484,17.1073,Slovak Republic,Europe & Central Asia
SVN,46.0546,14.5044,Slovenia,Europe & Central Asia
SWE,59.3327,18.0645,Sweden,Europe & Central Asia
SWZ,-26.5225,31.4659,Swaziland,Sub-Saharan Africa 
SXM,,,Sint Maarten (Dutch part),Latin America & Caribbean 
SYC,-4.6309,55.4466,Seychelles,Sub-Saharan Africa 
SYR,33.5146,36.3119,Syrian Arab Republic,Middle East & North Africa
TCA,21.4602778,-71.141389,Turks and Caicos Islands,Latin America & Caribbean 
TCD,12.1048,15.0445,Chad,Sub-Saharan Africa 
TGO,6.1228,1.2255,Togo,Sub-Saharan Africa 
THA,13.7308,100.521,Thailand,East Asia & Pacific
TJK,38.5878,68.7864,Tajikistan,Europe & Central Asia
TKM,37.9509,58.3794,Turkmenistan,Europe & Central Asia
TLS,-8.56667,125.567,Timor-Leste,East Asia & Pacific
TON,-21.136,-175.216,Tonga,East Asia & Pacific
TTO,10.6596,-61.4789,Trinidad and Tobago,Latin America & Caribbean 
TUN,36.7899,10.21,Tunisia,Middle East & North Africa
TUR,39.7153,32.3606,Turkey,Europe & Central Asia
TUV,-8.6314877,179.089567,Tuvalu,East Asia & Pacific
TWN,,,"Taiwan, China",East Asia & Pacific
TZA,-6.17486,35.7382,Tanzania,Sub-Saharan Africa 
UGA,0.314269,32.5729,Uganda,Sub-Saharan Africa 
UKR,50.4536,30.5038,Ukraine,Europe & Central Asia
URY,-34.8941,-56.0675,Uruguay,Latin America & Caribbean 
USA,38.8895,-77.032,United States,North America
UZB,41.3052,69.269,Uzbekistan,Europe & Central Asia
VCT,13.2035,-61.2653,St. Vincent and the Grenadines,Latin America & Caribbean 
VEN,9.08165,-69.8371,"Venezuela, RB",Latin America & Caribbean 
VGB,18.431389,-64.623056,British Virgin Islands,Latin America & Caribbean 
VIR,18.3358,-64.8963,Virgin Islands (U.S.),Latin America & Caribbean 
VNM,21.0069,105.825,Vietnam,East Asia & Pacific
VUT,-17.7404,168.321,Vanuatu,East Asia & Pacific
WSM,-13.8314,-171.752,Samoa,East Asia & Pacific
XKX,42.565,20.926,Kosovo,Europe & Central Asia
YEM,15.352,44.2075,"Yemen, Rep.",Middle East & North Africa
ZAF,-25.746,28.1871,South Africa,Sub-Saharan Africa 
ZMB,-15.3982,28.2937,Zambia,Sub-Saharan Africa 
ZWE,-17.8312,31.0672,Zimbabwe,Sub-Saharan Africa 
